인천상륙작전,14.27631,"1,427,631",한국,12세이상관람가,"전쟁,드라마",이재한,이정재|이범수|리암 니슨|진세연|정준호|박철민|김병옥|김선아|김영애|박성웅|추성훈|황석하
럭키,13.48511,"1,348,511",한국,15세이상관람가,코미디,이계벽,유해진|이준|조윤희|임지연|전혜빈|이동휘
덕혜옹주,13.07462,"1,307,462",한국,12세이상관람가,"사극,드라마",허진호,손예진|박해일|윤제문|라미란|정상훈|박수영|김소현|박주미|안내상|김재욱|김인우|백윤식|김대명|김정희|박윤식|박지수|박혜영|송민수|송창현|신동주|오세영|이경훈|이명규|이상진|이승진|최영빈|최일순|최정순|한동훈|함성원|홍은지
아가씨,12.92006,"1,292,006",한국,청소년관람불가,"스릴러,드라마",박찬욱,김민희|김태리|하정우|조진웅|김해숙|문소리|최병모|김인우|이용녀|조은형|장한순|이규정|이승준|이윤재
매드 맥스: 분노의 도로,12.85824,"1,285,824","미국,호주",15세이상관람가,"액션,어드벤처,스릴러",조지 밀러,톰 하디|샤를리즈 테론|니콜라스 홀트|조 크라비츠|로지 헌팅턴-휘틀리|라일리 코프|메간 게일|애비 리|코트니 이튼
연평해전,12.66958,"1,266,958",한국,12세이상관람가,드라마,김학순,김무열|진구|이현우|이완|이청아|천민희|이한종|박찬희|박혜준|최순조|최승준|최종환|송재호|유형균|박정학|이철민|김강일
인턴,12.28591,"1,228,591",미국,12세이상관람가,코미디,낸시 마이어스,앤 해서웨이|로버트 드니로|르네 루소|냇 울프|아담 드바인|앤드류 라넬스
데드풀,10.6253,"1,062,530",미국,청소년관람불가,"액션,SF",팀 밀러,라이언 레놀즈|모레나 바카린|에드 스크레인|지나 카라노|T.J. 밀러|브리아나 힐데브란드
스타워즈: 깨어난 포스,10.47067,"1,047,067",미국,12세이상관람가,"액션,어드벤처,판타지",J.J. 에이브럼스,해리슨 포드|마크 해밀|캐리 피셔|사이몬 페그|오스카 아이삭|막스 본 시도우|돔놀 글리슨
쿵푸팬더3,10.4541,"1,045,410",미국,전체관람가,"애니메이션,액션,어드벤처","여인영,알레산드로 칼로니",잭 블랙|안젤리나 졸리|더스틴 호프만|성룡|세스 로건|루시 리우|데이빗 크로스|J.K. 시몬스
분노의 질주: 더 세븐,8.64568,"864,568",미국,15세이상관람가,"액션,범죄,스릴러",제임스 완,빈 디젤|폴 워커|드웨인 존슨|제이슨 스타뎀
터미네이터 제니시스,8.53064,"853,064",미국,15세이상관람가,"액션,어드벤처,SF,스릴러",앨런 테일러,아놀드 슈왈제네거|제이슨 클락|에밀리아 클라크|제이 코트니|J.K. 시몬스|다요 오케니이|맷 스미스|코트니 B. 반스|이병헌|아론 V. 윌리엄슨
나우 유 씨 미 2,8.50601,"850,601",미국,12세이상관람가,"범죄,액션",존 추,제시 아이젠버그|마크 러팔로|우디 해럴슨|데이브 프랑코|다니엘 래드클리프|리지 캐플란|주걸륜|마이클 케인|모건 프리먼
엑스맨: 아포칼립스,8.47621,"847,621",미국,12세이상관람가,"액션,어드벤처,판타지,SF",브라이언 싱어,제임스 맥어보이|마이클 패스벤더|제니퍼 로렌스|오스카 아이삭|니콜라스 홀트|로즈 번|타이 쉐리던|소피 터너|올리비아 문|루카스 틸
조선명탐정 : 사라진 놉의 딸,8.45522,"845,522",한국,12세이상관람가,"사극,코미디,어드벤처",김석윤,김명민|오달수|이연희|강다현|전건익|정명철|박지선|배영민|정혜은|조관우|조명행|최지명|송병철|김나현|이경용|이귀현|이낙준|한대룡|이선도|이성동|이용우|김태환|정원중|남윤나|류광일|류현상|최무성|김원해|우현|황정민
앤트맨,8.42211,"842,211","미국,영국",12세이상관람가,"액션,SF",페이튼 리드,폴 러드|마이클 더글라스|에반젤린 릴리|코리 스톨
닥터 스트레인지,8.05688,"805,688",미국,12세이상관람가,"액션,어드벤처,판타지",스콧 데릭슨,베네딕트 컴버배치|레이첼 맥아담스|틸다 스윈튼|매즈 미켈슨|치웨텔 에지오포|스콧 앳킨스|마이클 스털버그|베네딕트 왕
귀향,8.02194,"802,194",한국,15세이상관람가,드라마,조정래,손숙|강하나|서미지|최리|정인기|오지혜|김시은|이채현|임성철|임혜영|박주현|박지희|박진경|장현익|정광윤|정부경|정승현|안재성|이경훈|이민영|이선희|이수현|이승현|이여원
제이슨 본,7.9779,"797,790",미국,15세이상관람가,"액션,스릴러",폴 그린그래스,맷 데이먼|줄리아 스타일즈|토미 리 존스|뱅상 카셀|알리시아 비칸데르
빅 히어로,7.72249,"772,249",미국,전체관람가,"애니메이션,액션,코미디","돈 홀,크리스 윌리암스",라이언 포터|스콧 애짓|다니엘 헤니|제이미 정|T.J. 밀러|제네시스 로드리게스|데이몬 웨이언스 주니어|마야 루돌프|제임스 크롬웰|알란 터딕
스물,7.40615,"740,615",한국,15세이상관람가,"코미디,드라마",이병헌,김우빈|이준호|강하늘|정덕희|주창욱|권지훈|오하늬|오현경|이성두|정소민|안재홍|이유비|김의성|김종수|민지|황미영
미스 페레그린과 이상한 아이들의 집,7.3258,"732,580","미국,벨기에,영국",12세이상관람가,"미스터리,판타지",팀 버튼,에바 그린|사무엘 L. 잭슨|아사 버터필드|앨리슨 제니|킴 디킨스|주디 덴치|크리스 오다우드
도리를 찾아서,7.24706,"724,706",미국,전체관람가,"애니메이션,어드벤처,코미디",앤드류 스탠튼,엘렌 드제너스|알버트 브룩스|다이안 키튼
극비수사,7.17981,"717,981",한국,15세이상관람가,"드라마,범죄",곽경택,김윤석|유해진|송영창|장영남|정호빈|이준혁|이종일|장성훈|정규용|정기용|백승호|이효제|최원|송승현|신유경|양중경|유주영|홍명기|이석현|이소영|이승준|이윤희|이인규|주영호|박효주|이재용|남문철
정글북,7.07481,"707,481",미국,12세이상관람가,"어드벤처,드라마",존 파브로,닐 세티|빌 머레이|스칼렛 요한슨|벤 킹슬리|이드리스 엘바|루피타 뇽오|크리스토퍼 월켄|지안카를로 에스포지토
메이즈 러너: 스코치 트라이얼,6.97898,"697,898",미국,12세이상관람가,"액션,SF,스릴러",웨스 볼,딜런 오브라이언|토마스 생스터|카야 스코델라리오|이기홍
아수라,6.76288,"676,288",한국,청소년관람불가,"범죄,액션",김성수,정우성|황정민|주지훈|곽도원|정만식|김원해|김종수|김해곤|윤지혜|오연아|윤제문
배트맨 대 슈퍼맨: 저스티스의 시작,6.63637,"663,637",미국,12세이상관람가,"액션,어드벤처,판타지",잭 스나이더,헨리 카빌|벤 애플렉|에이미 아담스|로렌스 피쉬번|제시 아이젠버그|제레미 아이언스|홀리 헌터|갤 가돗
마이펫의 이중생활,6.58731,"658,731",미국,전체관람가,"애니메이션,코미디,가족",크리스 리노드,스티브 쿠건|엘리 켐퍼|레이크 벨|데이너 카비|케빈 하트
스파이,6.51251,"651,251",미국,15세이상관람가,"액션,코미디",폴 페이그,주드 로|제이슨 스타뎀|멜리사 맥카시
미니언즈,6.30536,"630,536",미국,전체관람가,애니메이션,"피에르 꼬팽,카일 발다",산드라 블록|존 햄|마이클 키튼
레버넌트: 죽음에서 돌아온 자,6.14015,"614,015",미국,15세이상관람가,"어드벤처,드라마",알레한드로 곤잘레스 이냐리투,레오나르도 디카프리오|톰 하디
뷰티 인사이드,6.12329,"612,329",한국,12세이상관람가,"판타지,멜로/로맨스",백,오상철|한효주|김대명|도지한|배성우|박신혜|이범수|박서준|김상호|천우희|우에노 주리|이재준|김민재|이현우|조달환|이진욱|홍다미|서강준|김희원|이동욱|고아성|김주혁|유연석|이동휘|문숙|이경영|유재상|임예진|정두원|박지현|정은교|조유덕|차수보|차정환|이미도|손영진|신예진|유보라|윤여진|이미애|홍승철|이성준|이소연|이슬기|이승대|신동미|이진성|김시은
강남 1970,5.86992,"586,992",한국,청소년관람불가,"액션,드라마",유하,이민호|김래원|정진영|설현|유승목|한재영|이연두|정호빈|최진호|엄효섭|최병모|지대한|전배수|윤종화|서우진|이인혁|이정완|이주협|박소희|박시연|이한울|임성숙|장준혁|전겸수|강풍|박재영|박재희|박준영|정영택|백동현|정창용|조선기|서현석|천영암|손재영|주연서|신영규|양진석|오형근|유정호|윤지원|이규석|김원진|이성용|이성준|이세훈|황재진|이원희|이은주|안정우|정진영|김지수|곽민호
이미테이션 게임,5.7025,"570,250",영국,15세이상관람가,"드라마,스릴러",모튼 틸덤,베네딕트 컴버배치|키이라 나이틀리|매튜 구드
내부자들: 디 오리지널,5.65191,"565,191",한국,청소년관람불가,"범죄,드라마",우민호,신지수|이병헌|조승우|백윤식|이경영|김홍파|배성우|조재윤|김대명|조우진|이엘|정만식|김병옥|박진우|남일우|김의성|손종학|조덕제|유재명
007 스펙터,5.48082,"548,082","영국,미국",15세이상관람가,"액션,어드벤처,범죄,스릴러",샘 멘데스,다니엘 크레이그|레아 세이두|크리스토프 왈츠|모니카 벨루치
굿바이 싱글,5.2783,"527,830",한국,15세이상관람가,"코미디,드라마",김태곤,김혜수|마동석|김현수|김용건|서현진|곽시양|전석호|이미도|이성민|황미영|이형미|박지영|정준화|유성진|윤환|이수경|최문석|홍민희
수어사이드 스쿼드,5.21273,"521,273",미국,15세이상관람가,액션,데이비드 에이어,윌 스미스|자레드 레토|마고 로비|스콧 이스트우드|카라 델레바인|제이 코트니|조엘 킨나만|비올라 데이비스|제이 헤르난데즈|애덤 비치|카렌 후쿠하라|커먼|벤 애플렉
탐정 : 더 비기닝,5.04961,"504,961",한국,15세이상관람가,"코미디,범죄",김정훈,권상우|성동일|박해준|이승준|조복래|오정세|박준면|이일화|서영희|강민지|홍서현|천유나|차승연|정종훈|정승연|이현기|이찬희|김승배|김은지|김태훈|김하늘|김희영|모일영|박민철|박성일|박시영|박지혜|최성원|홍은택|이해영|지대한
악의 연대기,4.98396,"498,396",한국,15세이상관람가,스릴러,백운학,손현주|마동석|최다니엘|박서준|이준혁|이태호|이현우|강민정|조은수|서정우|최동헌|안용우|이명준|이성재|이용희|이은정|김태강|정원중|지대한|장준녕|정준원
테이큰 3,4.87343,"487,343",미국,15세이상관람가,"액션,범죄,스릴러",올리비에 메가턴,리암 니슨|팜케 얀센|매기 그레이스|존 그리스|포레스트 휘테커
오늘의 연애,4.80061,"480,061",한국,15세이상관람가,"멜로/로맨스,코미디",박진표,이승기|문채원|이서진|장진우|이경진|이동진|임하룡|이상협|김광규|김부선|가인|임종윤|남능미
컨저링 2,4.56204,"456,204",미국,15세이상관람가,공포(호러),제임스 완,베라 파미가|패트릭 윌슨|프란카 포텐테|프란시스 오코너|스털링 제린스
봉이 김선달,4.35005,"435,005",한국,12세이상관람가,사극,박대민,유승호|조재현|고창석|라미란|시우민|연우진|전석호|서예지|주영호|박예슬|박상현|박진성|유일한|이선희
샌 안드레아스,4.32263,"432,263",미국,12세이상관람가,"액션,드라마,스릴러",브레드 페이튼,드웨인 존슨|알렉산드리아 다다리오
쎄시봉,4.20577,"420,577",한국,15세이상관람가,"멜로/로맨스,코미디,드라마",김현석,김윤석|정우|한효주|김희애|진구|장현성|강하늘|조복래|김인권|장미진|강명찬|정수교|조성관|천준호|최남주|최성택|최성택|최충열|송민석|박소담|오하늬|윤준호|이미소|김승찬|이병훈|이상희|이승현|안재홍|이대연|이동훈|권해효
셜록: 유령신부,4.14969,"414,969",영국,12세이상관람가,"범죄,드라마",더글라스 맥키넌,베네딕트 컴버배치|마틴 프리먼
인디펜던스 데이 : 리써전스,3.98361,"398,361",미국,12세이상관람가,"액션,어드벤처,SF",롤랜드 에머리히,빌 풀만|리암 헴스워스|제프 골드블럼|비비카 A. 폭스|제시 어셔
차이나타운,3.95492,"395,492",한국,청소년관람불가,"범죄,드라마",한준희,김혜수|김고은|엄태구|박보검|고경표|오대환|배유람|이혁준|백동현|조경섭|권지훈|김경애|오유진|우종현|유지현|김성종|이상희|이수경|김수안|정석용|이대연|이루리|안재홍|기주봉|조복래|이민지
대호,3.83849,"383,849",한국,12세이상관람가,사극,박훈정,최민식|정만식|김상호|성유빈|오스기 렌|정석원|김홍파|라미란|이은우|현승민|우정국|박인수|김진혁|양준호|양호성|윤성민|이상민|장한별|주창욱|남연우|유재명|박지환
스타트렉 비욘드,3.78834,"378,834",미국,12세이상관람가,"액션,SF",저스틴 린,크리스 파인|사이몬 페그|조 샐다나|재커리 퀸토|칼 어번|안톤 옐친|존 조|이드리스 엘바|소피아 부텔라
동주,3.77229,"377,229",한국,12세이상관람가,드라마,이준익,강하늘|박정민|김인우|최홍일|김정석|최희서|신윤주|문성근|최종률|전재형|정운봉|이선주|허욱진
